ID,SMILES,act_mean,Type
CHEMBL3094444,COc1ncc2cc(C(=O)Nc3cc(C(N)=O)ccc3Cl)c(=O)[nH]c2n1,47,1
CHEMBL3909053,NC(=O)c1nc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2s1,5500,0
CHEMBL1899640,Clc1ccc(Nc2nccc(-c3ccc4c(c3)OCO4)n2)cc1,396.5,1
CHEMBL1933804,COc1ccc2c(Cl)c(C(=O)NNC(=O)C3CCCCC3)sc2c1,19470,0
CHEMBL4552628,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,130,1
CHEMBL3975059,COc1ccc(Nc2ncnc3ccc4nc(C(=N)N(C)C)sc4c23)cc1,500,1
CHEMBL3094465,COc1ncc2cc(C(=O)Nc3cc(C(=O)NC(CCN(C)C)c4cccc(Cl)c4)ccc3Cl)c(=O)[nH]c2n1,156,1
CHEMBL2180856,O=C(Nc1cccc2c1C1CCCCN1C2=O)Nc1ncc(F)cc1F,100000000,0
CHEMBL3787135,O=C(Nc1ccc2ccccc2n1)Nc1cccc2c1C1CCCCN1C2=O,9000,0
CHEMBL3785596,CN1CCN(Cc2cccc(NC(=O)Nc3cccc4c3C3CCCCN3C4=O)n2)CC1,100000000,0
CHEMBL4085242,C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4cccnc4)cc3c21,100000000,0
CHEMBL4082710,C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(N4CCOCC4)cc3c21,3360,0
CHEMBL3609658,Cc1cccc(NC(=O)Nc2cccc3c2C2CC4(CCN2C3=O)OCCO4)n1,100000000,0
CHEMBL2295939,CC(C)C(O)Nc1nc(Nc2cccc(-c3ncccn3)c2)c2ncn(C(C)C)c2n1,4700,0
CHEMBL4291297,O=C(Nc1cncc(-c2cc(-c3cccnc3)cs2)c1)c1ccccc1Cl,90.5,1
CHEMBL4173266,COc1ccc2c(c1)[nH]c1c(C)nc(CO)cc12,49.5,1
CHEMBL2386766,COC(=N)c1nc2ccc3ncnc(Nc4ccc(C#N)cc4)c3c2s1,3.89,1
CHEMBL4528315,COc1ccc2c3ccnc(C)c3n(CCC(=O)O)c2c1,1020,0
CHEMBL4636572,COc1cccc(N(C)c2nccc(-c3cnn4ncccc34)n2)c1,97,1
CHEMBL1433941,Cc1cccc(-c2ccc3ncnc(NCc4cccs4)c3c2)c1,100000000,0
CHEMBL4476426,COc1cc(Br)cc2[nH]cc(-c3cnc(-c4cc(Br)c[nH]4)o3)c12,100000000,0
CHEMBL2314477,CC[C@@H](CO)Nc1nc(Nc2ccccn2)c2ncn(C(C)C)c2n1,2100,0
CHEMBL484334,COc1ccc(N2NC(=O)/C(=C\c3cc(O)cc(O)c3)C2=O)cc1,100000000,0
CHEMBL4083661,Oc1ccc(-c2ccc3[nH]nc(-c4ccc(O)cc4)c3c2)cc1,100000000,0
CHEMBL1933805,Cc1ccc(C(=O)Nc2nccc(-c3ccc4c(c3)OCCO4)n2)cc1,1510,0
CHEMBL3335354,O=C(c1ccc(O)cc1)c1cc2cc(O)ccc2s1,3400,0
CHEMBL4093503,C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccc5occc5c4)cc3c21,1318,0
CHEMBL4648047,O=C(Nc1cc(-c2cn(-c3ccccc3)c3cnccc23)ccn1)C1CC1,301,1
CHEMBL3931248,CN(C)C(=N)c1nc2ccc3ncnc(Nc4ccc(Br)cc4F)c3c2s1,146.6,1
CHEMBL4088668,Cc1cc(-c2ccc3ncc4nnn([C@H](C)c5ccc(F)cc5)c4c3c2)ccn1,194,1
CHEMBL3786276,O=C(Nc1cc(CN2CCOCC2)ccn1)Nc1cccc2c1C1CCCCN1C2=O,7100,0
CHEMBL4097535,O=C(Nc1cccc(O)c1)c1c[nH]c2ncc(-c3ccc(O)cc3)cc12,100000000,0
CHEMBL3930589,Oc1ccc(-c2cn3cc(Cl)ccc3n2)cc1,100000000,0
CHEMBL552134,Cn1nc(N)c2c(-c3ccccc3)c(C#N)c(N)nc21,100000000,0
CHEMBL4644898,CC1(Cn2cc(-c3ccncc3)c3ccncc32)COC1,315,1
CHEMBL4555884,COc1cc(Br)cc2[nH]cc(-c3oc(-c4ccc[nH]4)nc3I)c12,100000000,0
CHEMBL4282315,COc1cc2[nH]c(=O)c(C(=O)Nc3cc(C(=O)NC(CCN)c4ccsc4)ccc3Cl)cc2cn1,4.6,1
CHEMBL2386752,COC(=N)c1nc2ccc3ncnc(Nc4ccc(O)c(F)c4)c3c2s1,8.63,1
CHEMBL519700,COc1ccc(N2NC(=O)/C(=C\c3cc(OC)c(O)c(OC)c3)C2=O)cc1,100000000,0
CHEMBL2314458,CC(C)n1cnc2c(Nc3ccncn3)nc(Cl)nc21,100000000,0
CHEMBL2392236,Clc1cncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,26000,0
CHEMBL4636064,CCN1CCN(C(=O)Nc2cc(-c3cn(C4CCOCC4)c4cnccc34)ccn2)CC1,6.2,1
CHEMBL2314452,CC(C)n1cnc2c(Nc3ccncn3)nc(C(C)(C)CO)nc21,16000,0
CHEMBL3102950,Oc1ccc(-c2cnc3[nH]cc(-c4ccc(O)cc4)c3c2)cc1,14,1
CHEMBL3609744,CO[C@@H]1CCN2C(=O)c3cccc(NC(=O)Nc4cc(C)ccn4)c3[C@@H]2C1,100000000,0
CHEMBL1724489,Cc1ccc(CNc2ncnc3ccc(-c4ccc(C(=O)O)o4)cc23)o1,100000000,0
CHEMBL496666,COc1ccc(N2NC(=O)/C(=C\c3cccc(OC)c3)C2=O)cc1,100000000,0
CHEMBL4064316,CC(C)n1cc(-c2ccncc2)c2ccncc21,8,1
CHEMBL509892,O=C1NN(c2ccc(Cl)c(Cl)c2)C(=O)/C1=C/c1c(Cl)cccc1Cl,100000000,0
CHEMBL557120,N#Cc1cc2c(N)n(-c3ccccc3)nc2nc1N,100000000,0
CHEMBL2314434,CC(C)n1cnc2c(Nc3ccnnc3)nc(C(C)(C)CO)nc21,3000,0
CHEMBL3735506,COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cccc(F)c4F)cc23)CC1,40,1
CHEMBL3936539,NC(=O)c1cc(-c2cn3cc(I)ccc3n2)ccc1O,100000000,0
CHEMBL2314456,CC[C@H](CO)Nc1nc(Nc2ccncn2)c2ncn(C(C)C)c2n1,3200,0
CHEMBL498719,COc1ccc(/C=C2\C(=O)NN(c3ccc(C#N)cc3)C2=O)cc1O,100000000,0
CHEMBL4062453,CN(C)CCn1cc(-c2ccn3c(-c4ccc(C(N)=O)c(OCc5cccc(F)c5)c4)cnc3c2)cn1,6.5,1
CHEMBL3609659,Cc1cccc(NC(=O)Nc2cccc3c2C2CC4(CCN2C3=O)SCCS4)n1,100000000,0
CHEMBL2295940,CC(O)C(O)Nc1nc(Nc2cccc(-c3ncccn3)c2)c2ncn(C(C)C)c2n1,7000,0
CHEMBL4102553,Oc1ccc(-c2cnc3[nH]cc(-c4ccc(-c5nnn[nH]5)cc4)c3c2)cc1,280,1
CHEMBL2295942,CC(C)n1cnc2c(Nc3cccc(-c4cncnc4)c3)nc(Cl)nc21,3000,0
CHEMBL4067477,CC[C@@H](CO)Nc1ccc2ncc(-c3cc(Cl)ccc3N)n2n1,11000,0
CHEMBL3589666,COc1ccc2c(c1)nc(C(=O)O)c1c3cccc(Br)c3[nH]c21,18,1
CHEMBL4174335,COc1ccc2c(c1)[nH]c1c(C(C)O)nccc12,858,1
CHEMBL4070227,CC[C@@H](CO)/N=C/c1cccc(-c2cnc3ccc(N[C@@H](CC)CO)nn23)c1,120,1
CHEMBL4159941,COc1ccc2c(c1)[nH]c1c(Cl)nccc12,8.8,1
CHEMBL2386770,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4Br)c3c2s1,1.88,1
