Molecule ChEMBL ID,Smiles,Molecular Weight,act_mean
CHEMBL177820,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,434.71,4360
CHEMBL1802358,O=C1NC(Nc2ccccc2)=N/C1=C\c1ccc2c(c1)OCO2,307.31,47.75
CHEMBL1802963,Nc1nccc(-c2c[nH]c3c(Br)cccc23)n1,289.14,79
CHEMBL1868723,FC(F)(F)c1cccc(Nc2nccc(-c3ccc4c(c3)OCO4)n2)c1,359.31,40
CHEMBL187081,COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,318.34,12
CHEMBL1872011,c1cncc(CNc2ccnc(-c3ccc4cn[nH]c4c3)n2)c1,302.34,1752
CHEMBL1877990,c1cncc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)c1,306.32,23.5
CHEMBL1882945,Clc1ccc(CNc2ncncc2-c2ccc3c(c2)OCO3)cc1,339.78,15299.5
CHEMBL188434,CCn1c(-c2nonc2N)nc2cncc(CNC3CCNCC3)c21,342.41,4900
CHEMBL1884711,c1cncc(CNc2ccnc(-c3ccc4[nH]ncc4c3)n2)c1,302.34,499.5
CHEMBL1885536,c1cc(-c2ccc3c(c2)OCO3)nc(Nc2ccc3c(c2)OCO3)n1,335.32,77.5
CHEMBL1885748,Clc1cc(Cl)cc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1,374.23,1441
CHEMBL1892019,Clc1ccc(CNc2nccc(-c3ccc4[nH]ncc4c3)n2)cc1Cl,370.24,229.5
CHEMBL1894742,c1cncc(CNc2nccc(-c3ccc4cn[nH]c4c3)n2)c1,302.34,210
CHEMBL189657,CCn1c(-c2nonc2N)nc2cnccc21,230.23,110
CHEMBL1898197,Clc1ccc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)cc1Cl,374.23,93
CHEMBL1898211,Clc1ccc(CNc2ccnc(-c3ccc4[nH]ncc4c3)n2)cc1Cl,370.24,3491
CHEMBL1899256,Brc1ccc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)cc1Br,463.13,449.5
CHEMBL1899640,Clc1ccc(Nc2nccc(-c3ccc4c(c3)OCO4)n2)cc1,325.76,396.5
CHEMBL1902528,c1cncc(CNc2nccc(-c3ccc4[nH]ncc4c3)n2)c1,302.34,105.5
CHEMBL1904905,Clc1ccc(CNc2nccc(-c3ccc4c(c3)OCCO4)n2)cc1Cl,388.25,114
CHEMBL1933801,CC(C)(CC(=O)Nc1sc2c(c1C(=O)O)CCC2)NC(=O)Cc1sc2c(c1C(=O)O)CCC2,490.6,88130
CHEMBL1933802,COc1ccc2c(c1)CCc1sc(NC(=O)c3ccc(OC)c(OC)c3)nc1-2,396.47,24740
CHEMBL1933803,COc1ccc2c(Cl)c(C(=O)N(C)Cc3ccccc3)sc2c1,345.85,6390
CHEMBL1933804,COc1ccc2c(Cl)c(C(=O)NNC(=O)C3CCCCC3)sc2c1,366.87,19470
CHEMBL1933805,Cc1ccc(C(=O)Nc2nccc(-c3ccc4c(c3)OCCO4)n2)cc1,347.37,1510
CHEMBL1933806,CC(=O)Nc1cc(-c2ccc([N+](=O)[O-])cc2)n[nH]1,246.23,23710
CHEMBL1957115,COc1ccc2c(c1)[nH]c1c(C(C)=O)nccc12,240.26,66.7
CHEMBL2006765,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,392.39,2940
CHEMBL2012558,COc1ccc2c3ccnc(C)c3n(CCCN)c2c1,269.35,152
CHEMBL2088659,COc1ccc2[nH]c3c(=O)[nH]nc(C)c3c2c1,229.24,5000
CHEMBL2089032,CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(NC[C@@H](O)CO)nc21,433.52,710
CHEMBL2089033,CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(N[C@@H]3CCC[C@H](O)[C@@H]3O)nc21,473.58,890
CHEMBL2089034,CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(N3C[C@H](O)C[C@H]3CO)nc21,459.55,1600
CHEMBL2089035,CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(NCC[C@H](O)CO)nc21,447.54,790
CHEMBL2089036,CC(C)[C@H](N)C(=O)OC[C@H](O)CNc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1.Cl,569.11,1100
CHEMBL2152265,Nc1cccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)c1,286.34,329
CHEMBL2164696,Cc1c2c(cc[n+]1Cc1ccccc1)c1ccc(OCC3CCCCC3)cc1n2CC1CCCCC1.[Br-],561.61,43000
CHEMBL2164709,Cc1nccc2c3ccc(OCc4ccccc4)cc3n(Cc3ccccc3)c12,378.48,16150
CHEMBL2164716,Cc1c2c(cc[n+]1Cc1ccccc1)c1ccc(OCc3ccccc3)cc1n2Cc1ccccc1.[Br-],549.51,21000
CHEMBL2180844,O=C(Nc1cccc2c1C1CCCCN1C2=O)Nc1ncccc1O,338.37,1800
CHEMBL2180851,O=C(Nc1cc(O)c2ccccc2n1)Nc1cccc2c1C1CCCCN1C2=O,388.43,5600
CHEMBL2180852,O=C(Nc1cccc(Br)n1)Nc1cccc2c1C1CCCCN1C2=O,401.26,3400
